"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050819","negative regulation of coagulation","6/47","54/18805",0.111111111111111,44.4562647754137,16.007291063163,4.13055985040656e-09,3.41459614300275e-07,2.60152804613325e-07,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:0030194","positive regulation of blood coagulation","5/47","27/18805",0.185185185185185,74.0937746256895,19.0247250513114,6.06856308876219e-09,4.01334305603473e-07,3.05770406858334e-07,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:0042730","fibrinolysis","5/47","27/18805",0.185185185185185,74.0937746256895,19.0247250513114,6.06856308876219e-09,4.01334305603473e-07,3.05770406858334e-07,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:1900048","positive regulation of hemostasis","5/47","27/18805",0.185185185185185,74.0937746256895,19.0247250513114,6.06856308876219e-09,4.01334305603473e-07,3.05770406858334e-07,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:0050820","positive regulation of coagulation","5/47","31/18805",0.161290322580645,64.5332875772135,17.7208501616831,1.26775667051609e-08,7.86009135719976e-07,5.98848216730627e-07,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:0030193","regulation of blood coagulation","6/47","69/18805",0.0869565217391304,34.7918593894542,14.0759909959811,1.86412749510633e-08,1.08777322067381e-06,8.28757610827457e-07,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:1900046","regulation of hemostasis","6/47","71/18805",0.0845070422535211,33.8118070122865,13.8651588447866,2.21877209662383e-08,1.22278995547269e-06,9.31624775073633e-07,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:0051918","negative regulation of fibrinolysis","4/47","13/18805",0.307692307692308,123.109656301146,22.0452976826805,2.40832392628959e-08,1.25739859730488e-06,9.57992564584999e-07,"APOH/SERPINF2/HRG/CPB2",4
"GO:0050818","regulation of coagulation","6/47","76/18805",0.0789473684210526,31.5873460246361,13.3743314501328,3.35532675421446e-08,1.66424207009037e-06,1.26796032080315e-06,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:0061045","negative regulation of wound healing","6/47","78/18805",0.0769230769230769,30.7774140752864,13.1910984210665,3.92738300761704e-08,1.85522092550291e-06,1.41346416013486e-06,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:0006958","complement activation, classical pathway","5/47","40/18805",0.125,50.0132978723404,15.532823982616,4.82796191612475e-08,2.17697191854352e-06,1.65860127070697e-06,"C4A/C4BPB/C1QB/C5/C3",5
"GO:1903035","negative regulation of response to wounding","6/47","101/18805",0.0594059405940594,23.768696018538,11.4845077029329,1.85615044492462e-07,8.00565757115316e-06,6.09938681673172e-06,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","5/47","54/18805",0.0925925925925926,37.0468873128448,13.2780168778841,2.26067716410937e-07,9.34413227831872e-06,7.11915001680055e-06,"C4A/C4BPB/C1QB/C5/C3",5
"GO:0031639","plasminogen activation","4/47","27/18805",0.148148148148148,59.2750197005516,15.1677243765312,5.76177969661747e-07,2.28627418361781e-05,1.74187697775636e-05,"APOH/F12/SERPINF2/CPB2",4
"GO:0090303","positive regulation of wound healing","5/47","66/18805",0.0757575757575758,30.3110896196003,11.940197487796,6.24723764815269e-07,2.38356144114133e-05,1.81599863618366e-05,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:0061041","regulation of wound healing","6/47","140/18805",0.0428571428571429,17.1474164133739,9.59917369652098,1.27728251029253e-06,4.69283055633405e-05,3.57539509703719e-05,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:1903036","positive regulation of response to wounding","5/47","81/18805",0.0617283950617284,24.6979248752298,10.6987809580081,1.74170224434664e-06,6.17060223711381e-05,4.70128650917627e-05,"APOH/F12/SERPINF2/HRG/CPB2",5
"GO:0031638","zymogen activation","4/47","46/18805",0.0869565217391304,34.7918593894542,11.4859507032538,5.17444689670495e-06,0.000177001769707976,0.000134854913678191,"APOH/F12/SERPINF2/CPB2",4
"GO:1903034","regulation of response to wounding","6/47","181/18805",0.0331491712707182,13.2631950158693,8.29826357595867,5.66282471048262e-06,0.000187250737093292,0.000142663443583387,"APOH/F12/SERPINF2/HRG/PF4/CPB2",6
"GO:0010755","regulation of plasminogen activation","3/47","18/18805",0.166666666666667,66.6843971631206,13.9556650609559,1.16297381604983e-05,0.000372151621135947,0.000283536570432523,"F12/SERPINF2/CPB2",3
"GO:0070613","regulation of protein processing","4/47","60/18805",0.0666666666666667,26.6737588652482,9.97018335383981,1.50716756650042e-05,0.000467221945615129,0.00035596918182477,"F12/GSN/SERPINF2/CPB2",4
"GO:0030449","regulation of complement activation","3/47","22/18805",0.136363636363636,54.5599613152805,12.5820063573222,2.17947872073839e-05,0.00064284045561237,0.000489770211300596,"CFH/C4BPB/C3",3
"GO:1903317","regulation of protein maturation","4/47","66/18805",0.0606060606060606,24.2488716956802,9.47068577175055,2.20328381963917e-05,0.00064284045561237,0.000489770211300596,"F12/GSN/SERPINF2/CPB2",4
"GO:0001906","cell killing","6/47","263/18805",0.0228136882129278,9.12790227327886,6.64444702964404,4.69246002231324e-05,0.00132997724060992,0.00101328911158523,"CFH/CFHR5/HRG/C5/C3/PF4",6
"GO:0051873","killing by host of symbiont cells","3/47","34/18805",0.0882352941176471,35.3035043804756,10.0210914898556,8.29249993073631e-05,0.00228504442535845,0.00174094004393821,"CFHR5/HRG/PF4",3
"GO:0032102","negative regulation of response to external stimulus","7/47","448/18805",0.015625,6.25166223404255,5.63139153569939,0.00011468041688589,0.00307467496083251,0.00234254734919115,"APOH/F12/SERPINF2/HRG/C5/PF4/CPB2",7
"GO:0051702","biological process involved in interaction with symbiont","3/47","40/18805",0.075,30.0079787234043,9.19293022835709,0.000135483055725501,0.00353682082314992,0.00269464914157645,"CFHR5/HRG/PF4",3
"GO:0016064","immunoglobulin mediated immune response","5/47","205/18805",0.024390243902439,9.75869226777374,6.31161516196668,0.000155024092552052,0.00394317691824707,0.00300424557226379,"C4A/C4BPB/C1QB/C5/C3",5
"GO:0019724","B cell mediated immunity","5/47","208/18805",0.0240384615384615,9.61794189852701,6.25596871452177,0.000165895269685659,0.00408035223127468,0.00310875732391258,"C4A/C4BPB/C1QB/C5/C3",5
"GO:0002526","acute inflammatory response","4/47","111/18805",0.036036036036036,14.4182480352693,7.09719879591635,0.000168643590203893,0.00408035223127468,0.00310875732391258,"F12/SERPINF2/C3/PIK3CG",4
"GO:0002920","regulation of humoral immune response","3/47","47/18805",0.0638297872340425,25.5387052965143,8.4311747828523,0.00021964475808492,0.00496817851905305,0.00378517845573015,"CFH/C4BPB/C3",3
"GO:0031640","killing of cells of another organism","4/47","119/18805",0.0336134453781513,13.448954049705,6.81912979437455,0.000220362756893482,0.00496817851905305,0.00378517845573015,"CFHR5/HRG/C5/PF4",4
"GO:0141061","disruption of cell in another organism","4/47","119/18805",0.0336134453781513,13.448954049705,6.81912979437455,0.000220362756893482,0.00496817851905305,0.00378517845573015,"CFHR5/HRG/C5/PF4",4
"GO:0002673","regulation of acute inflammatory response","3/47","48/18805",0.0625,25.0066489361702,8.33587618874708,0.000233877913448473,0.00515570866979745,0.0039280547802574,"F12/C3/PIK3CG",3
"GO:0016485","protein processing","5/47","227/18805",0.0220264317180617,8.81291592464149,5.92798893934221,0.000248930324312194,0.00527888482507785,0.00402190078990439,"APOH/F12/GSN/SERPINF2/CPB2",5
"GO:0141060","disruption of anatomical structure in another organism","4/47","123/18805",0.032520325203252,13.011589690365,6.68993879981657,0.000250108454413971,0.00527888482507785,0.00402190078990439,"CFHR5/HRG/C5/PF4",4
"GO:0071674","mononuclear cell migration","5/47","230/18805",0.0217391304347826,8.69796484736355,5.87971417743197,0.000264495747484908,0.00542227241933422,0.00413114558264216,"ECM1/EPS8/C5/PIK3CG/PF4",5
"GO:2000425","regulation of apoptotic cell clearance","2/47","10/18805",0.2,80.0212765957447,12.5113352337062,0.000271643931267185,0.00542227241933422,0.00413114558264216,"C4A/C3",2
"GO:0045765","regulation of angiogenesis","6/47","363/18805",0.0165289256198347,6.61332864427642,5.40568279562914,0.000273300021135797,0.00542227241933422,0.00413114558264216,"APOH/ECM1/HRG/C3/PIK3CG/PF4",6
"GO:0010466","negative regulation of peptidase activity","3/47","52/18805",0.0576923076923077,23.0830605564648,7.98190110936892,0.000296752903418497,0.00577213490570881,0.00439770040566524,"SERPIND1/ECM1/SERPINF2",3
"GO:0006909","phagocytosis","5/47","238/18805",0.0210084033613445,8.40559628106562,5.75517358172115,0.000309634567128839,0.00583187326463834,0.00444321413838108,"C4A/C4BPB/CFP/GSN/C3",5
"GO:1901342","regulation of vasculature development","6/47","372/18805",0.0161290322580645,6.45332875772135,5.3176031506435,0.000311581938534105,0.00583187326463834,0.00444321413838108,"APOH/ECM1/HRG/C3/PIK3CG/PF4",6
"GO:0051838","cytolysis by host of symbiont cells","2/47","11/18805",0.181818181818182,72.7466150870406,11.9143109970289,0.000331480210928104,0.00587193516501213,0.00447373668132291,"CFHR5/HRG",2
"GO:0097278","complement-dependent cytotoxicity","2/47","11/18805",0.181818181818182,72.7466150870406,11.9143109970289,0.000331480210928104,0.00587193516501213,0.00447373668132291,"CFH/C3",2
"GO:1903027","regulation of opsonization","2/47","11/18805",0.181818181818182,72.7466150870406,11.9143109970289,0.000331480210928104,0.00587193516501213,0.00447373668132291,"C4BPB/CFP",2
"GO:0030168","platelet activation","4/47","140/18805",0.0285714285714286,11.4316109422492,6.20129207086306,0.000409428663306555,0.00712549533333514,0.00542880480617002,"HBB/HRG/PIK3CG/PF4",4
"GO:0072393","microtubule anchoring at microtubule organizing center","2/47","14/18805",0.142857142857143,57.1580547112462,10.521603015398,0.000545832323071467,0.00933561490494646,0.00711266076162093,"BICD1/NIN",2
"GO:0010457","centriole-centriole cohesion","2/47","15/18805",0.133333333333333,53.3475177304965,10.1521754962957,0.000628803611165683,0.0105724268182434,0.00805496864972276,"CROCC/NIN",2
"GO:0045807","positive regulation of endocytosis","4/47","159/18805",0.0251572327044025,10.0655693831125,5.74621131249387,0.000661423911034508,0.0109016969887276,0.00830583450541852,"C4A/CFP/BICD1/C3",4
"GO:0030162","regulation of proteolysis","6/47","430/18805",0.013953488372093,5.58287976249382,4.81215714911119,0.000670366447895547,0.0109016969887276,0.00830583450541852,"SERPIND1/ECM1/F12/GSN/SERPINF2/CPB2",6
"GO:0072378","blood coagulation, fibrin clot formation","2/47","16/18805",0.125,50.0132978723404,9.81754425628864,0.000717488519285092,0.0112975970020764,0.00860746460896735,"APOH/F12",2
"GO:0098883","synapse pruning","2/47","16/18805",0.125,50.0132978723404,9.81754425628864,0.000717488519285092,0.0112975970020764,0.00860746460896735,"C1QB/C3",2
"GO:0045861","negative regulation of proteolysis","4/47","165/18805",0.0242424242424242,9.69954867827208,5.61819132871587,0.000759777583017332,0.0117765525367686,0.00897237343102705,"SERPIND1/ECM1/SERPINF2/CPB2",4
"GO:0050766","positive regulation of phagocytosis","3/47","73/18805",0.0410958904109589,16.4427280676188,6.61719852020049,0.000805038207253702,0.0122024896811651,0.00929688836065001,"C4A/CFP/C3",3
"GO:0008228","opsonization","2/47","17/18805",0.117647058823529,47.0713391739675,9.51252487929216,0.000811859192496874,0.0122024896811651,0.00929688836065001,"C4BPB/CFP",2
"GO:1901880","negative regulation of protein depolymerization","3/47","75/18805",0.04,16.0042553191489,6.51713883902843,0.00087096578820396,0.0128954934611691,0.00982487723378544,"EPS8/GSN/APC2",3
"GO:0072376","protein activation cascade","2/47","20/18805",0.1,40.0106382978723,8.73721935082558,0.00112880872786238,0.0162286704063692,0.0123643732510326,"APOH/F12",2
"GO:0097284","hepatocyte apoptotic process","2/47","20/18805",0.1,40.0106382978723,8.73721935082558,0.00112880872786238,0.0162286704063692,0.0123643732510326,"GSN/PIK3CG",2
"GO:0030203","glycosaminoglycan metabolic process","3/47","83/18805",0.036144578313253,14.4616764932069,6.15237586369009,0.00116867703797107,0.0165618231666758,0.0126181971919283,"PGLYRP2/HAS3/DSEL",3
"GO:0002443","leukocyte mediated immunity","6/47","483/18805",0.0124223602484472,4.97026562706489,4.42473712525276,0.00122387102048693,0.0170997190468034,0.0130280117525518,"C4A/C4BPB/C1QB/C5/C3/PIK3CG",6
"GO:0043242","negative regulation of protein-containing complex disassembly","3/47","85/18805",0.0352941176470588,14.1214017521902,6.06900587749718,0.00125192276139701,0.01724871360147,0.0131415284017991,"EPS8/GSN/APC2",3
"GO:0052547","regulation of peptidase activity","3/47","87/18805",0.0344827586206897,13.7967718268525,5.98840432876527,0.00133881876119652,0.0181932631658486,0.0138611661216886,"SERPIND1/ECM1/SERPINF2",3
"GO:0051336","regulation of hydrolase activity","5/47","334/18805",0.0149700598802395,5.98961651165754,4.60549146640377,0.00142747636158494,0.0191358993336792,0.0145793460543099,"APOH/SERPIND1/ECM1/SERPINF2/APC2",5
"GO:0010955","negative regulation of protein processing","2/47","23/18805",0.0869565217391304,34.7918593894542,8.11681922758204,0.00149593678559491,0.0197862572174686,0.015074843677995,"SERPINF2/CPB2",2
"GO:1901879","regulation of protein depolymerization","3/47","93/18805",0.032258064516129,12.9066575154427,5.76171823319063,0.0016219990216964,0.0211713556516162,0.0161301287753188,"EPS8/GSN/APC2",3
"GO:0010954","positive regulation of protein processing","2/47","25/18805",0.08,32.0085106382979,7.76575888235196,0.00176820186963404,0.0217578123186266,0.0165769410492083,"F12/GSN",2
"GO:0034453","microtubule anchoring","2/47","25/18805",0.08,32.0085106382979,7.76575888235196,0.00176820186963404,0.0217578123186266,0.0165769410492083,"BICD1/NIN",2
"GO:0051016","barbed-end actin filament capping","2/47","25/18805",0.08,32.0085106382979,7.76575888235196,0.00176820186963404,0.0217578123186266,0.0165769410492083,"EPS8/GSN",2
"GO:1903318","negative regulation of protein maturation","2/47","25/18805",0.08,32.0085106382979,7.76575888235196,0.00176820186963404,0.0217578123186266,0.0165769410492083,"SERPINF2/CPB2",2
"GO:0045104","intermediate filament cytoskeleton organization","3/47","96/18805",0.03125,12.5033244680851,5.6560661929132,0.00177659556230721,0.0217578123186266,0.0165769410492083,"PPL/KRT16/KRT10",3
"GO:0045103","intermediate filament-based process","3/47","97/18805",0.0309278350515464,12.3744242158368,5.62189063014147,0.00183010102506192,0.0221397587422125,0.0168679401282986,"PPL/KRT16/KRT10",3
"GO:0006022","aminoglycan metabolic process","3/47","98/18805",0.0306122448979592,12.2481545809813,5.58821395245227,0.00188460442794886,0.0225244288256057,0.0171610143217157,"PGLYRP2/HAS3/DSEL",3
"GO:0051346","negative regulation of hydrolase activity","3/47","100/18805",0.03,12.0031914893617,5.52230767012138,0.00199663171480321,0.0235792697748189,0.0179646813437181,"SERPIND1/ECM1/SERPINF2",3
"GO:1903319","positive regulation of protein maturation","2/47","27/18805",0.0740740740740741,29.6375098502758,7.45372302697084,0.00206222490404599,0.0240673777036896,0.0183365632334987,"F12/GSN",2
"GO:0050764","regulation of phagocytosis","3/47","102/18805",0.0294117647058824,11.7678347934919,5.45825243442962,0.00211273009787455,0.0243700960126925,0.0185671996361558,"C4A/CFP/C3",3
"GO:0044403","biological process involved in symbiotic interaction","4/47","220/18805",0.0181818181818182,7.27466150870406,4.68598770322287,0.00219277168974376,0.0249953394741038,0.0190435629694467,"CFHR5/PGLYRP2/HRG/PF4",4
"GO:0002675","positive regulation of acute inflammatory response","2/47","28/18805",0.0714285714285714,28.5790273556231,7.31013912796192,0.00221732850173502,0.0249953394741038,0.0190435629694467,"C3/PIK3CG",2
"GO:0006910","phagocytosis, recognition","2/47","29/18805",0.0689655172413793,27.5935436537051,7.17388576967496,0.00237779119658729,0.026503020977692,0.0201922422134793,"C4BPB/CFP",2
"GO:0097421","liver regeneration","2/47","30/18805",0.0666666666666667,26.6737588652482,7.04434952994556,0.00254358638988317,0.0280359744307123,0.0213601757653347,"SERPINA10/CPB2",2
"GO:0006641","triglyceride metabolic process","3/47","110/18805",0.0272727272727273,10.9119922630561,5.21885639432835,0.00261885236667099,0.0282909393458209,0.0215544295949696,"APOH/C3/PIK3CG",3
"GO:0002449","lymphocyte mediated immunity","5/47","384/18805",0.0130208333333333,5.20971852836879,4.17198611377721,0.00262375647158823,0.0282909393458209,0.0215544295949696,"C4A/C4BPB/C1QB/C5/C3",5
"GO:0150146","cell junction disassembly","2/47","31/18805",0.0645161290322581,25.8133150308854,6.92098668973436,0.00271468757747297,0.028956667493045,0.0220616375848963,"C1QB/C3",2
"GO:0010575","positive regulation of vascular endothelial growth factor production","2/47","32/18805",0.0625,25.0066489361702,6.80331336192902,0.00289106834948648,0.030188840028322,0.0230004108025628,"C5/C3",2
"GO:0036336","dendritic cell migration","2/47","32/18805",0.0625,25.0066489361702,6.80331336192902,0.00289106834948648,0.030188840028322,0.0230004108025628,"EPS8/PIK3CG",2
"GO:0050900","leukocyte migration","5/47","395/18805",0.0126582278481013,5.06463775922435,4.08671437386123,0.00296288406129904,0.0306164686334234,0.0233262144299639,"ECM1/EPS8/C5/PIK3CG/PF4",5
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/47","396/18805",0.0126262626262626,5.05184826993338,4.07911972621636,0.00299521585951004,0.0306314859034429,0.0233376558559762,"C4A/C4BPB/C1QB/C5/C3",5
"GO:0051261","protein depolymerization","3/47","122/18805",0.0245901639344262,9.83868154865713,4.90258215132977,0.00350849162652057,0.0355145274847797,0.0270579697942188,"EPS8/GSN/APC2",3
"GO:0002697","regulation of immune effector process","5/47","414/18805",0.0120772946859903,4.83220269297975,3.94663310556153,0.00362199491602797,0.0362931207747449,0.0276511679926431,"CFH/C4BPB/PGLYRP2/CFP/C3",5
"GO:0070293","renal absorption","2/47","38/18805",0.0526315789473684,21.0582306830907,6.19537754676751,0.00405875710813634,0.0402628705127125,0.0306756589857041,"GSN/HBB",2
"GO:0043244","regulation of protein-containing complex disassembly","3/47","130/18805",0.0230769230769231,9.23322422258593,4.71511292605007,0.00419268940274388,0.0411796820546725,0.031374163534863,"EPS8/GSN/APC2",3
"GO:0003014","renal system process","3/47","132/18805",0.0227272727272727,9.09332688588008,4.67076248308065,0.00437550100465133,0.0425538921236678,0.0324211529550016,"GSN/SERPINF2/HBB",3
"GO:0051693","actin filament capping","2/47","40/18805",0.05,20.0053191489362,6.02298335122763,0.00448904126402682,0.0432342614943166,0.0329395158668499,"EPS8/GSN",2
"GO:0006639","acylglycerol metabolic process","3/47","137/18805",0.0218978102189781,8.76145364186986,4.56389075013406,0.00485352693403133,0.046295179986145,0.0352715823748431,"APOH/C3/PIK3CG",3
"GO:0010951","negative regulation of endopeptidase activity","2/47","42/18805",0.0476190476190476,19.0526849037487,5.86267868213955,0.00493950987393337,0.0463504290673743,0.0353136757962381,"SERPIND1/SERPINF2",2
"GO:0006638","neutral lipid metabolic process","3/47","138/18805",0.0217391304347826,8.69796484736355,4.54316999572222,0.00495276762211862,0.0463504290673743,0.0353136757962381,"APOH/C3/PIK3CG",3
"GO:0043277","apoptotic cell clearance","2/47","43/18805",0.0465116279069767,18.6095992083127,5.78661939128566,0.00517224969882107,0.0479520719741169,0.0365339427816383,"C4A/C3",2
"GO:0030835","negative regulation of actin filament depolymerization","2/47","44/18805",0.0454545454545455,18.1866537717602,5.71308202044278,0.00540995943887848,0.0495505195346372,0.0377517752821196,"EPS8/GSN",2
"GO:0022411","cellular component disassembly","5/47","456/18805",0.0109649122807018,4.38713139231056,3.66512718128286,0.00544456313435025,0.0495505195346372,0.0377517752821196,"EPS8/GSN/C1QB/C3/APC2",5
